rows[40]{id,name,email,score,active,note}:
  0,user0,user0@example.com,0,true,"has, comma"
  1,user1,user1@example.com,3.7,false,null
  2,user2,user2@example.com,7.4,false,null
  3,user3,user3@example.com,11.1,true,null
  4,user4,user4@example.com,14.8,false,null
  5,user5,user5@example.com,18.5,false,null
  6,user6,user6@example.com,22.2,true,null
  7,user7,user7@example.com,25.9,false,"has, comma"
  8,user8,user8@example.com,29.6,false,null
  9,user9,user9@example.com,33.3,true,null
  10,user10,user10@example.com,37,false,null
  11,user11,user11@example.com,40.7,false,null
  12,user12,user12@example.com,44.4,true,null
  13,user13,user13@example.com,48.1,false,null
  14,user14,user14@example.com,51.8,false,"has, comma"
  15,user15,user15@example.com,55.5,true,null
  16,user16,user16@example.com,59.2,false,null
  17,user17,user17@example.com,62.9,false,null
  18,user18,user18@example.com,66.6,true,null
  19,user19,user19@example.com,70.3,false,null
  20,user20,user20@example.com,74,false,null
  21,user21,user21@example.com,77.7,true,"has, comma"
  22,user22,user22@example.com,81.4,false,null
  23,user23,user23@example.com,85.1,false,null
  24,user24,user24@example.com,88.8,true,null
  25,user25,user25@example.com,92.5,false,null
  26,user26,user26@example.com,96.2,false,null
  27,user27,user27@example.com,99.9,true,null
  28,user28,user28@example.com,3.6,false,"has, comma"
  29,user29,user29@example.com,7.3,false,null
  30,user30,user30@example.com,11,true,null
  31,user31,user31@example.com,14.7,false,null
  32,user32,user32@example.com,18.4,false,null
  33,user33,user33@example.com,22.1,true,null
  34,user34,user34@example.com,25.8,false,null
  35,user35,user35@example.com,29.5,false,"has, comma"
  36,user36,user36@example.com,33.2,true,null
  37,user37,user37@example.com,36.9,false,null
  38,user38,user38@example.com,40.6,false,null
  39,user39,user39@example.com,44.3,true,null
